"gsid","index_no","station","district","year","month","day","max_temp"
"168","1319","Biratnagar Airport","Morang","2015","06","29","33.2"
"168","1319","Biratnagar Airport","Morang","2015","06","30","35"
"168","1319","Biratnagar Airport","Morang","2015","07","01","33.5"
"168","1319","Biratnagar Airport","Morang","2015","07","02","35"
"168","1319","Biratnagar Airport","Morang","2015","07","03","33.5"
"168","1319","Biratnagar Airport","Morang","2015","07","04","33.5"
"168","1319","Biratnagar Airport","Morang","2015","07","05","30.5"
"168","1319","Biratnagar Airport","Morang","2015","07","06","32.7"
"168","1319","Biratnagar Airport","Morang","2015","07","07","34"
"168","1319","Biratnagar Airport","Morang","2015","07","08","33.5"
"168","1319","Biratnagar Airport","Morang","2015","07","09","33"
"168","1319","Biratnagar Airport","Morang","2015","07","10","30.5"
"168","1319","Biratnagar Airport","Morang","2015","07","11","32.7"
"168","1319","Biratnagar Airport","Morang","2015","07","12","35"
"168","1319","Biratnagar Airport","Morang","2015","07","13","36.5"
"168","1319","Biratnagar Airport","Morang","2015","07","14","35"
"168","1319","Biratnagar Airport","Morang","2015","07","15","30.6"
"168","1319","Biratnagar Airport","Morang","2015","07","16","30.3"
"168","1319","Biratnagar Airport","Morang","2015","07","17","34.6"
"168","1319","Biratnagar Airport","Morang","2015","07","18","33.2"
"168","1319","Biratnagar Airport","Morang","2015","07","19","33.6"
"168","1319","Biratnagar Airport","Morang","2015","07","20","34.6"
"168","1319","Biratnagar Airport","Morang","2015","07","21","33.4"
"168","1319","Biratnagar Airport","Morang","2015","07","22","32.5"
"168","1319","Biratnagar Airport","Morang","2015","07","23","31"
"168","1319","Biratnagar Airport","Morang","2015","07","24","33"
"168","1319","Biratnagar Airport","Morang","2015","07","25","33.5"
"168","1319","Biratnagar Airport","Morang","2015","07","26","36.5"
"168","1319","Biratnagar Airport","Morang","2015","07","27","37.6"
"168","1319","Biratnagar Airport","Morang","2015","07","28","37"
"168","1319","Biratnagar Airport","Morang","2015","07","29","36.5"
"168","1319","Biratnagar Airport","Morang","2015","07","30","36.3"
"168","1319","Biratnagar Airport","Morang","2015","07","31","31.5"
"168","1319","Biratnagar Airport","Morang","2015","08","01","32.5"
"168","1319","Biratnagar Airport","Morang","2015","08","02","34"
"168","1319","Biratnagar Airport","Morang","2015","08","03","33.3"
"168","1319","Biratnagar Airport","Morang","2015","08","04","35"
"168","1319","Biratnagar Airport","Morang","2015","08","05","33.5"
"168","1319","Biratnagar Airport","Morang","2015","08","06","30.6"
"168","1319","Biratnagar Airport","Morang","2015","08","07","31.5"
"168","1319","Biratnagar Airport","Morang","2015","08","08","34.4"
"168","1319","Biratnagar Airport","Morang","2015","08","09","35.4"
"168","1319","Biratnagar Airport","Morang","2015","08","10","35.2"
"168","1319","Biratnagar Airport","Morang","2015","08","11","35.6"
"168","1319","Biratnagar Airport","Morang","2015","08","12","35"
"168","1319","Biratnagar Airport","Morang","2015","08","13","32.7"
"168","1319","Biratnagar Airport","Morang","2015","08","14","32"
"168","1319","Biratnagar Airport","Morang","2015","08","15","31"
"168","1319","Biratnagar Airport","Morang","2015","08","16","32"
"168","1319","Biratnagar Airport","Morang","2015","08","17","32.8"
"168","1319","Biratnagar Airport","Morang","2015","08","18","33.3"
"168","1319","Biratnagar Airport","Morang","2015","08","19","32"
"168","1319","Biratnagar Airport","Morang","2015","08","20","27.4"
"168","1319","Biratnagar Airport","Morang","2015","08","21","30"
"168","1319","Biratnagar Airport","Morang","2015","08","22","32.5"
"168","1319","Biratnagar Airport","Morang","2015","08","23","32"
"168","1319","Biratnagar Airport","Morang","2015","08","24","31.8"
"168","1319","Biratnagar Airport","Morang","2015","08","25","31.5"
"168","1319","Biratnagar Airport","Morang","2015","08","26","29.5"
"168","1319","Biratnagar Airport","Morang","2015","08","27","32.5"
"168","1319","Biratnagar Airport","Morang","2015","08","28","32.3"
"168","1319","Biratnagar Airport","Morang","2015","08","29","33.5"
"168","1319","Biratnagar Airport","Morang","2015","08","30","30.8"
"168","1319","Biratnagar Airport","Morang","2015","08","31","31.5"
"168","1319","Biratnagar Airport","Morang","2015","09","01","31.4"
"168","1319","Biratnagar Airport","Morang","2015","09","02","28.4"
"168","1319","Biratnagar Airport","Morang","2015","09","03","31.3"
