"gsid","index_no","station","district","year","month","day","min_temp"
"168","1319","Biratnagar Airport","Morang","2015","07","06","27.2"
"168","1319","Biratnagar Airport","Morang","2015","07","07","27.2"
"168","1319","Biratnagar Airport","Morang","2015","07","08","25.7"
"168","1319","Biratnagar Airport","Morang","2015","07","09","26"
"168","1319","Biratnagar Airport","Morang","2015","07","10","24.5"
"168","1319","Biratnagar Airport","Morang","2015","07","11","26.8"
"168","1319","Biratnagar Airport","Morang","2015","07","12","26.7"
"168","1319","Biratnagar Airport","Morang","2015","07","13","27.2"
"168","1319","Biratnagar Airport","Morang","2015","07","14","26.1"
"168","1319","Biratnagar Airport","Morang","2015","07","15","25"
"168","1319","Biratnagar Airport","Morang","2015","07","16","26"
"168","1319","Biratnagar Airport","Morang","2015","07","17","26.7"
"168","1319","Biratnagar Airport","Morang","2015","07","18","26"
"168","1319","Biratnagar Airport","Morang","2015","07","19","25"
"168","1319","Biratnagar Airport","Morang","2015","07","20","26.5"
"168","1319","Biratnagar Airport","Morang","2015","07","21","26.5"
"168","1319","Biratnagar Airport","Morang","2015","07","22","25.8"
"168","1319","Biratnagar Airport","Morang","2015","07","23","24.5"
"168","1319","Biratnagar Airport","Morang","2015","07","24","26"
"168","1319","Biratnagar Airport","Morang","2015","07","25","21.7"
"168","1319","Biratnagar Airport","Morang","2015","07","26","25.6"
"168","1319","Biratnagar Airport","Morang","2015","07","27","26.5"
"168","1319","Biratnagar Airport","Morang","2015","07","28","26"
"168","1319","Biratnagar Airport","Morang","2015","07","29","27.7"
"168","1319","Biratnagar Airport","Morang","2015","07","30","26.8"
"168","1319","Biratnagar Airport","Morang","2015","07","31","27"
"168","1319","Biratnagar Airport","Morang","2015","08","01","25.7"
"168","1319","Biratnagar Airport","Morang","2015","08","02","27"
"168","1319","Biratnagar Airport","Morang","2015","08","03","26.7"
"168","1319","Biratnagar Airport","Morang","2015","08","04","26.9"
"168","1319","Biratnagar Airport","Morang","2015","08","05","26.5"
"168","1319","Biratnagar Airport","Morang","2015","08","06","25.5"
"168","1319","Biratnagar Airport","Morang","2015","08","07","26.7"
"168","1319","Biratnagar Airport","Morang","2015","08","08","26.5"
"168","1319","Biratnagar Airport","Morang","2015","08","09","27"
"168","1319","Biratnagar Airport","Morang","2015","08","10","26.9"
"168","1319","Biratnagar Airport","Morang","2015","08","11","25.7"
"168","1319","Biratnagar Airport","Morang","2015","08","12","26.5"
"168","1319","Biratnagar Airport","Morang","2015","08","13","26.7"
"168","1319","Biratnagar Airport","Morang","2015","08","14","25.7"
"168","1319","Biratnagar Airport","Morang","2015","08","15","27"
"168","1319","Biratnagar Airport","Morang","2015","08","16","26.9"
"168","1319","Biratnagar Airport","Morang","2015","08","17","27"
"168","1319","Biratnagar Airport","Morang","2015","08","18","26"
"168","1319","Biratnagar Airport","Morang","2015","08","19","26.3"
"168","1319","Biratnagar Airport","Morang","2015","08","20","25.7"
"168","1319","Biratnagar Airport","Morang","2015","08","21","24.6"
"168","1319","Biratnagar Airport","Morang","2015","08","22","25.6"
"168","1319","Biratnagar Airport","Morang","2015","08","23","25.7"
"168","1319","Biratnagar Airport","Morang","2015","08","24","25.9"
"168","1319","Biratnagar Airport","Morang","2015","08","25","26.7"
"168","1319","Biratnagar Airport","Morang","2015","08","26","26.9"
"168","1319","Biratnagar Airport","Morang","2015","08","27","26"
"168","1319","Biratnagar Airport","Morang","2015","08","28","24.5"
"168","1319","Biratnagar Airport","Morang","2015","08","29","26"
"168","1319","Biratnagar Airport","Morang","2015","08","30","25.8"
"168","1319","Biratnagar Airport","Morang","2015","08","31","25.7"
"168","1319","Biratnagar Airport","Morang","2015","09","01","25.6"
"168","1319","Biratnagar Airport","Morang","2015","09","02","24.5"
"168","1319","Biratnagar Airport","Morang","2015","09","03","25.9"
"168","1319","Biratnagar Airport","Morang","2015","09","04","24"
"168","1319","Biratnagar Airport","Morang","2015","09","05","25.8"
"168","1319","Biratnagar Airport","Morang","2015","09","06","25.3"
"168","1319","Biratnagar Airport","Morang","2015","09","07","25"
"168","1319","Biratnagar Airport","Morang","2015","09","08","25.5"
"168","1319","Biratnagar Airport","Morang","2015","09","09","26.5"
"168","1319","Biratnagar Airport","Morang","2015","09","10","26.8"
"168","1319","Biratnagar Airport","Morang","2015","09","11","26.7"
"168","1319","Biratnagar Airport","Morang","2015","09","12","24.5"
"168","1319","Biratnagar Airport","Morang","2015","09","13","26.3"
"168","1319","Biratnagar Airport","Morang","2015","09","14","25.3"
